ما هي عاصمة فرنسا؟|باريس
ما هو أكبر كوكب في المجموعة الشمسية؟|المشتري
ما هو أسرع حيوان بري؟|الفهد
كم عدد قارات العالم؟|7
من هو مخترع المصباح الكهربائي؟|توماس إديسون
ما هي عاصمة اليابان؟|طوكيو
ما هو أطول نهر في العالم؟|نهر النيل
ما هي عاصمة روسيا؟|موسكو
ما هو أصغر كوكب؟|عطارد
كم عدد أيام السنة؟|365
ما هو أكبر محيط في العالم؟|المحيط الهادي
من هو أول إنسان صعد إلى القمر؟|نيل أرمسترونغ
ما هي اللغة الأكثر انتشارًا في العالم؟|الإنجليزية
ما هي عاصمة مصر؟|القاهرة
ما هو الحيوان الذي يلقب بسفينة الصحراء؟|الجمل
ما هي الدولة التي اخترعت البيتزا؟|إيطاليا
ما هو الغاز الذي نتنفسه؟|الأكسجين
ما هي أكبر دولة عربية مساحة؟|الجزائر
ما الحيوان الذي لا يشرب الماء؟|الكنغر الجرذ
ما هو الكوكب الأقرب للشمس؟|عطارد
ما هي عملة اليابان؟|الين
ما هو أكبر تمساح على وجه الأرض؟|التمساح المالح
ما هي عاصمة ألمانيا؟|برلين
ما اسم أقرب نجم إلى الأرض؟|الشمس
ما هي عاصمة تركيا؟|أنقرة
ما هو الحيوان الذي يبيض ولا يلد؟|الطيور
ما هو أكبر بحر في العالم؟|البحر الأبيض المتوسط
ما هي أسرع وسيلة نقل؟|الطائرة
من هو مؤسس شركة مايكروسوفت؟|بيل غيتس
ما هو أكثر المعادن وفرة على الأرض؟|الألومنيوم
ما هو أذكى الحيوانات؟|الدلفين
ما هي عاصمة الصين؟|بكين
ما هو الحيوان الذي يمتلك ثلاثة قلوب؟|الأخطبوط
ما هو العنصر الأساسي في تكوين الشمس؟|الهيدروجين
ما هي الدولة التي تسمى بلاد الرافدين؟|العراق
ما هو الحيوان الوطني في الصين؟|الباندا
ما هي لغة البرازيل؟|البرتغالية
ما هي الدولة التي تشتهر بالساموراي؟|اليابان
كم عدد أركان الإسلام؟|5
ما هي عاصمة بريطانيا؟|لندن
ما هو الحيوان الذي يغير لونه؟|الحرباء
ما هو أكبر حيوان في العالم؟|الحوت الأزرق
من هو مخترع الهاتف؟|ألكسندر غراهام بيل
ما هو الحيوان الذي يملك أكبر ذاكرة؟|الفيل
ما هي الدولة التي اشتهرت بالأهرامات؟|مصر
ما هو الشيء الذي يقاس ولا يُرى؟|الوقت
ما هو الحيوان الذي يمكنه العيش بدون رأس؟|الصراصير
ما هي عاصمة إسبانيا؟|مدريد
ما هي عاصمة السودان؟|الخرطوم
ما هو أكبر كائن حي على وجه الأرض؟|الفطر العملاق
كم عدد حروف اللغة العربية؟|28
ما هو الحيوان الذي يسبح ولا يغرق؟|البطة
ما هي عاصمة لبنان؟|بيروت
ما هي أكبر قارة؟|آسيا
ما هي أصغر دولة في العالم؟|الفاتيكان
ما هو الحيوان الذي يتنفس من جلده؟|الضفدع
ما هي أكبر غابة في العالم؟|الأمازون
ما هي الدولة التي تُلقب ببلاد الثلج؟|روسيا
ما هو الحيوان الوحيد الذي يطير؟|الخفاش
كم عدد أسنان الإنسان البالغ؟|32
من هو مكتشف الجاذبية؟|إسحاق نيوتن
ما هي عاصمة فلسطين؟|القدس
ما هو الحيوان الذي ينام واقفًا؟|الحصان
ما هي أول دولة استخدمت الشاي؟|الصين
ما هو الحيوان الذي يعيش أطول؟|السلحفاة
ما هو الشيء الذي له رقبة بلا رأس؟|الزجاجة
ما هي الدولة التي اخترعت الشوكولاتة؟|المكسيك
ما هي عاصمة كندا؟|أوتاوا
ما هو الحيوان الذي يسمع بأرجله؟|الفيل
ما هو الغاز الذي يسبب الضحك؟|أكسيد النيتروس
ما هي أول جامعة في العالم؟|جامعة القرويين
ما هي أكبر قارة من حيث عدد السكان؟|آسيا
ما هو الحيوان الذي لا يملك هيكلًا عظميًا؟|قنديل البحر
ما هي عاصمة المغرب؟|الرباط
ما هو الحيوان الذي يموت إذا شرب الماء؟|الكنغر الجرذ
ما هو العنصر الذي يشكل 70% من جسم الإنسان؟|الماء
ما هو أسرع طائر في العالم؟|الصقر
ما هي أكبر دولة في العالم مساحة؟|روسيا
ما هو الحيوان الذي له عين واحدة؟|الإعصار
من هو مؤسس الديناميكا؟|نيوتن
كم عدد عضلات جسم الإنسان؟|650
ما هي الدولة التي تسمى بلاد الشمس المشرقة؟|اليابان
ما هو الحيوان الذي يولد بلا عيون؟|الخلد
ما هي أكبر صحراء في العالم؟|الصحراء الكبرى
ما هي الدولة التي اخترعت الورق؟|الصين
ما هو الحيوان الذي لا ينام؟|السمك
ما هو لون البحر؟|أزرق
كم عدد قارات العالم؟|7
ما هو الشيء الذي يجري بلا أرجل؟|الماء
ما هي أكبر قارة؟|آسيا
ما هو الحيوان الذي يمكنه الرؤية في الظلام؟|القط
ما هي عاصمة ليبيا؟|طرابلس
ما هو الشيء الذي يسمع بلا أذن؟|الهاتف
ما هو الحيوان الذي يضحك؟|الضبع
شيء كلما أخذت منه كبر؟|الحفرة
شيء له أسنان ولا يعض؟|المشط
شيء يبكي بلا عينين؟|السحابة
شيء يمشي بلا قدمين؟|الوقت
شيء لا يبرد إذا وضع في الثلاجة؟|الفلفل الحار
شيء تذبحه وتبكي عليه؟|البصل
شيء يزيد ولا ينقص؟|العمر
شيء إذا ذكرته كسرته؟|الصمت
شيء له رقبة بلا رأس؟|الزجاجة
شيء يجري بلا أرجل؟|الماء
شيء إذا أخذت منه صغر؟|الصابون
شيء نراه في الليل ولا نراه في النهار؟|النجوم
شيء كلما ضربته صرخ؟|الجرس
